Order ID,Date,Time,date_time,Kiosk,Product,Qty,Subtotal,Unit Price_BD,Unit_Price_AD,Discount Applied,Total,COGS,Margin,Fridge Type,Promotion Label,,,,,,,,,,,
1589PXL3VA,9/8/19,6:01:58 PM,6:01:58 PM,One Boston Place,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
1587PXL3A3,9/8/19,5:49:15 PM,5:49:15 PM,Synergy,Vermont Cheddar & Grapes,1,3.49,3.49,3.49,0,3.49,1,2.49,Byte,,,,,,,,,,,,
1590PXL33S,9/8/19,5:45:28 PM,5:45:28 PM,GSV,Trail Mix Pack Cranberry,1,1.29,1.29,1.29,0,1.29,0,1.29,Byte,,,,,,,,,,,,
1583PXL2QU,9/8/19,5:37:42 PM,5:37:42 PM,Lionbridge,Smoked Turkey & Cheddar Sandwich,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
1590PXL13G,9/8/19,5:02:04 PM,5:02:04 PM,GSV,Lifeway Kefir,1,3.49,3.49,3.49,0,3.49,0,3.49,Byte,,,,,,,,,,,,
1581PXKYN3,9/8/19,4:09:03 PM,4:09:03 PM,Waltham Watch Factory,Kind Bars,1,2.49,2.49,2.24,0.25,2.24,0,2.49,Byte,,,,,,,,,,,,
1590PXKYBE,9/8/19,4:02:02 PM,4:02:02 PM,GSV,Dirty Lemon Water,1,9.99,9.99,9.99,0,9.99,0,9.99,Byte,,,,,,,,,,,,
1588PXKXRH,9/8/19,3:50:05 PM,3:50:05 PM,Kronos,Almond Butter & Jelly Sandwich,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
1590PXKW3N,9/8/19,3:14:11 PM,3:14:11 PM,GSV,Lifeway Kefir,1,3.49,3.49,3.49,0,3.49,0,3.49,Byte,,,,,,,,,,,,
1588PXKVL8,9/8/19,3:03:08 PM,3:03:08 PM,Kronos,Smoked Turkey & Cheddar Sandwich,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
